stimulus_index,stimulus_id,source_image_name,category,relative_image_path,width,height,sha256
16,noi_047.jpg,noi_047.jpg,Manipulated Images,Manipulated Images/noi_047.jpg,1024,768,28af90d35a989a82936a4e54579dfa906eaa78806666617ff02af47458a330c3
17,noi_048.jpg,noi_048.jpg,Manipulated Images,Manipulated Images/noi_048.jpg,1024,768,89ea99c54eac52537d47b5cac01460b28ca07c2c4ed5d5686ef6c3544aa6b3c5
18,noi_049.jpg,noi_049.jpg,Manipulated Images,Manipulated Images/noi_049.jpg,1024,768,431d1b104d8c4a6763ccbabc92ba47d4df7e394916a792d9b1ec3cdac064462a
19,noi_050.jpg,noi_050.jpg,Manipulated Images,Manipulated Images/noi_050.jpg,1024,768,6a1aa2d168388f33ae67a3fe91ceba05f691fa1a9fe8ebdfdb5c4b57d7d91c8c
20,noi_051.jpg,noi_051.jpg,Manipulated Images,Manipulated Images/noi_051.jpg,1024,768,b0cc8430b18738112e045ccde0bc56a4eae21e526b8f7143987091bc0aebb6f2
21,noi_052.jpg,noi_052.jpg,Manipulated Images,Manipulated Images/noi_052.jpg,1024,768,4fd5f47d4aed3297a4c7baa360cccd966e836ce2b06dd5c11c06a30708238398
22,noi_053.jpg,noi_053.jpg,Manipulated Images,Manipulated Images/noi_053.jpg,1024,768,da18d959f2afa332a44264d05641082e2070a5422980bbe52e0d888edacaf267
23,patch_062.jpg,patch_062.jpg,Manipulated Images,Manipulated Images/patch_062.jpg,1024,768,5a34708459da09da357398d6adc32a5c9f787cfa0503db728a40e23d19b7f3fa
24,patch_063.jpg,patch_063.jpg,Manipulated Images,Manipulated Images/patch_063.jpg,1024,768,9c56f0e677776a0e1671e9eb7c7e7789ba4d5e9c701c82c1d30d823985a6a1d8
25,patch_064.jpg,patch_064.jpg,Manipulated Images,Manipulated Images/patch_064.jpg,1024,768,4ef106a83c176e23203f2f34e9d7d72a7318fe1100f1336da3cb2167c5ec7574
26,patch_065.jpg,patch_065.jpg,Manipulated Images,Manipulated Images/patch_065.jpg,1024,768,e0133001242e80e0dfc5c5544e1639496693e7c8e3d406d10ebd757fc70331ac
27,rand_075.jpg,rand_075.jpg,Manipulated Images,Manipulated Images/rand_075.jpg,1024,768,b851ce8b8a2573d2763a8f7fca2825df34cf215d321bd42ed2a015893e5fbe8f
28,rand_076.jpg,rand_076.jpg,Manipulated Images,Manipulated Images/rand_076.jpg,1024,768,31e7a7e7b6d4ccae17c7d79c9742e8fedcab603c3ca4233422b0792e1fb02286
29,rand_077.jpg,rand_077.jpg,Manipulated Images,Manipulated Images/rand_077.jpg,1024,768,94eada3d59ad03f629a21c2d958b9c44de91fe74971b4cea0e1b0c0e2a2e1ef2
30,rand_078.jpg,rand_078.jpg,Manipulated Images,Manipulated Images/rand_078.jpg,1024,768,6f3c826e4ffe118856bfc6746ff6129114bf268a590cd9efd4196dd8aa53daec
31,rand_079.jpg,rand_079.jpg,Manipulated Images,Manipulated Images/rand_079.jpg,1024,768,c8e7d7258b435421d3aac03bd97a6eefd45f4727989a201144656b4fa83710ec
32,ind_016.jpg,ind_016.jpg,Natural Scenes,Natural Scenes/ind_016.jpg,1024,768,955a91428004e2219302e51d3a07de03b18d1ae61edfbc85d3da1d68e1eaa464
33,ind_017.jpg,ind_017.jpg,Natural Scenes,Natural Scenes/ind_017.jpg,1024,768,12c9f02fc9c492ddc705da5c0cb2f6169192be0cf1125123a9628a8fdf8a918d
34,ind_018.jpg,ind_018.jpg,Natural Scenes,Natural Scenes/ind_018.jpg,1024,768,aa62caa133800480d1ca9b33701fbfd2d18d1562f58ba530bccdfd2f6be57138
35,ind_019.jpg,ind_019.jpg,Natural Scenes,Natural Scenes/ind_019.jpg,1024,768,d96d2ba2b1b1dd687532f4000b2244ff774869bd21a9086610a39168451e283f
36,ind_020.jpg,ind_020.jpg,Natural Scenes,Natural Scenes/ind_020.jpg,1024,768,8adcf8c03d6edf119eb845444c3c7f4d8a9fc17d586150d86a0ea8f69d06bec6
37,ind_021.jpg,ind_021.jpg,Natural Scenes,Natural Scenes/ind_021.jpg,1024,768,4f0d01c196383cd7a70ef2a1acdbc9637d9d5f20caddbc2b9d2a47b4ee9d474a
38,ind_022.jpg,ind_022.jpg,Natural Scenes,Natural Scenes/ind_022.jpg,1024,768,69a296b17269f738ecc7c6cc65bce85b6f5e59962779843ef6f2f9f489788b6b
39,ind_023.jpg,ind_023.jpg,Natural Scenes,Natural Scenes/ind_023.jpg,1024,768,01fe8f27fec48579c5b822992d4746cbc2276f8f813e2adfbe9b73796dd057db
40,ind_024.jpg,ind_024.jpg,Natural Scenes,Natural Scenes/ind_024.jpg,1024,768,3074c66ee8d1eecea03e85d0ffa160797edfe54e413df6ae4c02d50ae30c7188
41,ind_025.jpg,ind_025.jpg,Natural Scenes,Natural Scenes/ind_025.jpg,1024,768,cf48c4f1404e5896785a42d6d9833ba9335bd375e72089ddd229a784d7bec481
42,land_026.jpg,land_026.jpg,Natural Scenes,Natural Scenes/land_026.jpg,1024,768,9bd3a5b636a6dbbf0658eb41a8c8db5af92b307bf07372757f0e270930779d2a
43,land_027.jpg,land_027.jpg,Natural Scenes,Natural Scenes/land_027.jpg,1024,768,7e4a283b56011bdb0577dd48ca0cfd182970bd3f258a560a5e09c26433280f72
44,land_028.jpg,land_028.jpg,Natural Scenes,Natural Scenes/land_028.jpg,1024,768,89fbc0289b487d1a9a08d804b515655d4c09c55b85f39135e7a8e6dcb7263ce3
45,land_029.jpg,land_029.jpg,Natural Scenes,Natural Scenes/land_029.jpg,1024,768,42f773340215eca9f7d1c2036e47e9f09ff9ffe0c6eda96ec77dd5db70691402
46,land_030.jpg,land_030.jpg,Natural Scenes,Natural Scenes/land_030.jpg,1024,768,7933d5a7f873793cb25e223ca21f306c35284ec2757ef04b2dfbe41dd506e78c
47,outman_054.jpg,outman_054.jpg,Natural Scenes,Natural Scenes/outman_054.jpg,1024,768,106ec92053ac955b2808e002ddf2e1016c60dff9c6a03bbae9cda3375022087d
48,outman_055.jpg,outman_055.jpg,Natural Scenes,Natural Scenes/outman_055.jpg,1024,768,f6275462da3909181ea19a28e1728641ba737c867286776e1f9cba7240c8528f
49,outman_056.jpg,outman_056.jpg,Natural Scenes,Natural Scenes/outman_056.jpg,1024,768,bd988c62071230ba90caa8c54d07e727dcad603eb10165a1f31c14f953a2eec6
50,outman_057.jpg,outman_057.jpg,Natural Scenes,Natural Scenes/outman_057.jpg,1024,768,4fe20c7a07175d375f6738f8707944c96a9364432ff4bd569afc3fe85f1a747f
51,outman_058.jpg,outman_058.jpg,Natural Scenes,Natural Scenes/outman_058.jpg,1024,768,5a14cb17f0091e5a51183645b5ad78a53090adcec9114e8859f1d53041898c03
52,outman_059.jpg,outman_059.jpg,Natural Scenes,Natural Scenes/outman_059.jpg,1024,768,00da8428da607976eaa287d3cb0790944a46d77ca943523d56283a6432e09722
53,outman_060.jpg,outman_060.jpg,Natural Scenes,Natural Scenes/outman_060.jpg,1024,768,ce802312bd68060d413ae77662989550616eaf3c58f43e996abd36db87a534a2
54,outman_061.jpg,outman_061.jpg,Natural Scenes,Natural Scenes/outman_061.jpg,1024,768,e7ac65b6c5f0089e2a9ff0d14d5742865bf88f8ea5a8e54b50dea394a556d955
55,sat_080.jpg,sat_080.jpg,Natural Scenes,Natural Scenes/sat_080.jpg,1024,768,bbf20c2a8fcf22e99b27fd4ba5c222f62e62caeb15295111513b0f8f34e46df1
56,sat_081.jpg,sat_081.jpg,Natural Scenes,Natural Scenes/sat_081.jpg,1024,768,bffa1f8c6ded707fd98c7c56a8310267b56a0a2efa3881a2204cdf7e49a774d6
57,sat_082.jpg,sat_082.jpg,Natural Scenes,Natural Scenes/sat_082.jpg,1024,768,c229d080c725bf5d3c18afae77d4a942cdd9bcbbb6949ba7320287aa3d2d4410
58,sat_083.jpg,sat_083.jpg,Natural Scenes,Natural Scenes/sat_083.jpg,1024,768,ff04e67333c9ce8fb849d2640bc32f7ce732ba2edf1867e05edba720ff043c68
59,sat_084.jpg,sat_084.jpg,Natural Scenes,Natural Scenes/sat_084.jpg,1024,768,b02530f60e3f9b9c5efd2f16c5c51c390f0364abee8077082d9c3a37541dadd5
60,sat_085.jpg,sat_085.jpg,Natural Scenes,Natural Scenes/sat_085.jpg,1024,768,a2ab38a07e99b6b8067cc4b67db6192d378d41b4038248004a3d4980bcab29ae
61,sat_086.jpg,sat_086.jpg,Natural Scenes,Natural Scenes/sat_086.jpg,1024,768,1b7c5787483de0f7a5db9f0524cec557677481337457d06caf21274b182e0db9
62,sat_087.jpg,sat_087.jpg,Natural Scenes,Natural Scenes/sat_087.jpg,1024,768,5438a75911a16f2933efc91e994c37147aff4b7e969abd5694c0020df338c1f2
63,act_001.jpg,act_001.jpg,Social Scenes,Social Scenes/act_001.jpg,1024,768,d3bb50a9a52fb1e058bb79a03681d1c8eceaf16b00d4bece0e27e2268d993859
64,act_002.jpg,act_002.jpg,Social Scenes,Social Scenes/act_002.jpg,1024,768,84bacfdd27627adea192e25feb74bd73744897b6a459eb26b777ea025e8b1ae5
65,act_003.jpg,act_003.jpg,Social Scenes,Social Scenes/act_003.jpg,1024,768,19d7e22887df594040a039bc06866a6a6b3c5ae69f4f91608499697d48c92b4d
66,act_004.jpg,act_004.jpg,Social Scenes,Social Scenes/act_004.jpg,1024,768,35fe47d2bd8f30d9128aec1a27988d1c5a10fb1446e97fbdca72d485a0dbe5e6
67,act_005.jpg,act_005.jpg,Social Scenes,Social Scenes/act_005.jpg,1024,768,f6b631e4a25d0aa2d430305ff7efc84edda62b8ade96dced1295be2d0fb4677e
68,por_071.jpg,por_071.jpg,Social Scenes,Social Scenes/por_071.jpg,1024,768,c31f76d24217fac6b73eab65d1e1136e2649cc2fb98bd43bf43360066484a5d9
69,por_072.jpg,por_072.jpg,Social Scenes,Social Scenes/por_072.jpg,1024,768,08ba3647c20ab27722940482775aef8c10583e960338f7ba9b79a4a0391bca06
70,por_073.jpg,por_073.jpg,Social Scenes,Social Scenes/por_073.jpg,1024,768,08effd7e7ae29493b5178234e445922e33644af3003c758ee7e889e866c62ce0
71,por_074.jpg,por_074.jpg,Social Scenes,Social Scenes/por_074.jpg,1024,768,22cd412c08c4044caa1600427314a2f8441a622470fd066e3848b0420671bb2d
72,soc_088.jpg,soc_088.jpg,Social Scenes,Social Scenes/soc_088.jpg,1024,768,791e003004ec6419b07d798dfd9ab6df6291f22ad9538625d5c59e1b94d34f76
73,soc_089.jpg,soc_089.jpg,Social Scenes,Social Scenes/soc_089.jpg,1024,768,36380dc4106df1f505f28fa82817a68b5a5a1d268e55297e96665646360114b9
74,soc_090.jpg,soc_090.jpg,Social Scenes,Social Scenes/soc_090.jpg,1024,768,c07c32ce936cd04e5c7ed7b473c0f046f3f20636931a7e2e41e46675ec40a7a7
75,soc_091.jpg,soc_091.jpg,Social Scenes,Social Scenes/soc_091.jpg,1024,768,13bf501c36ae5a76bd2f903eaac244be691d6eb29fcece26630a0a8328cf2f23
76,soc_092.jpg,soc_092.jpg,Social Scenes,Social Scenes/soc_092.jpg,1024,768,a4a130ecdc954b9cbf99a70981bb422b7f95508eae260b4f399ab666a70777a4
77,soc_093.jpg,soc_093.jpg,Social Scenes,Social Scenes/soc_093.jpg,1024,768,a539cb716c874e45aaeff19209a7fcecd98c5642b74c689a2eae7d3b956ff01a
78,soc_094.jpg,soc_094.jpg,Social Scenes,Social Scenes/soc_094.jpg,1024,768,9f9d612388576b0d212127235af73b896aa45e43c7d71adecffa6decb1646f79
79,soc_095.jpg,soc_095.jpg,Social Scenes,Social Scenes/soc_095.jpg,1024,768,94cf0deb72339188f365efc20bc2699a94144ab62dd5d59cae3340f9a17eaddb
80,soc_096.jpg,soc_096.jpg,Social Scenes,Social Scenes/soc_096.jpg,1024,768,c57fd13f37382daa41b73a52d5c20406270d6b9a2adfc63fca7d0cbe17b27c0e
81,soc_097.jpg,soc_097.jpg,Social Scenes,Social Scenes/soc_097.jpg,1024,768,e12ce1e6965476006625a522aee677ceeb3292ec4d10571da59da1c70c17d620
82,soc_098.jpg,soc_098.jpg,Social Scenes,Social Scenes/soc_098.jpg,1024,768,9ceba64415eec100da6e0a36510e60fc4acd13e1a2b9ae368d26aca2cef9f0f6
83,soc_099.jpg,soc_099.jpg,Social Scenes,Social Scenes/soc_099.jpg,1024,768,9e2d97fdc3826196f0095074da203dca6fbbdbaeda22fc782d1d6a186c338458
84,soc_100.jpg,soc_100.jpg,Social Scenes,Social Scenes/soc_100.jpg,1024,768,e3dfdc6bc296de192f341230fdf4860d511226792e8acd340f663d2ef6399214
85,art_006.jpg,art_006.jpg,Synthetic Images,Synthetic Images/art_006.jpg,1024,768,b58d41f00e9b3d9f1e17b7af39ae34a835704dfc153675ed293748f1d6d32a89
86,art_007.jpg,art_007.jpg,Synthetic Images,Synthetic Images/art_007.jpg,1024,768,79d65284f8e37fcdc0e552fcb117f0376215fa66f11048db4a2a4d7ae0917b7e
87,art_008.jpg,art_008.jpg,Synthetic Images,Synthetic Images/art_008.jpg,1024,768,b140600125308e0be786bcb5d36ae36034b6dff3ccbb5e13481739c2520feb13
88,art_009.jpg,art_009.jpg,Synthetic Images,Synthetic Images/art_009.jpg,1024,768,c0ce3cc02fe4907267d1909200f0c0351c7c1c09514348937dfef4d32e4f6bad
89,art_010.jpg,art_010.jpg,Synthetic Images,Synthetic Images/art_010.jpg,1024,768,68b156ba1d0333ea06c5da7ed2cff17954270294f13bab44265ec64aea33294c
90,art_011.jpg,art_011.jpg,Synthetic Images,Synthetic Images/art_011.jpg,1024,768,037a3fa173eff62834884fa92cedcaaea0d1b6780e96ebca2ca9ccd013a4ccaa
91,cat_012.jpg,cat_012.jpg,Synthetic Images,Synthetic Images/cat_012.jpg,1024,768,9bf661acc04839d1d25491ff260bc2aa4242996129ddbb9333b918278dc9449d
92,cat_013.jpg,cat_013.jpg,Synthetic Images,Synthetic Images/cat_013.jpg,1024,768,dc4010c3471eca89ac165d03e7c02df56ef7c7b3dd7e869ad6bfcee71e091884
93,cat_014.jpg,cat_014.jpg,Synthetic Images,Synthetic Images/cat_014.jpg,1024,768,4ab5c52e73894958b4c0cea0ae9e6a497353f6100872a5d48022c5f69d1287de
94,cat_015.jpg,cat_015.jpg,Synthetic Images,Synthetic Images/cat_015.jpg,1024,768,1a21b7d061121eb628509edd006d14c98c3ed3cbca734d05596ccf3df6532f9e
95,pat_066.jpg,pat_066.jpg,Synthetic Images,Synthetic Images/pat_066.jpg,1024,768,814e0deb758750a052692449837db79cd58f69c0e6062c11c2d0c1683875ce5a
96,pat_067.jpg,pat_067.jpg,Synthetic Images,Synthetic Images/pat_067.jpg,1024,768,0d21c1f2c08ba6478d72e41fce9222af52d6f76894dccd5dec936eee79a29b1c
97,pat_068.jpg,pat_068.jpg,Synthetic Images,Synthetic Images/pat_068.jpg,1024,768,c154f0b3515e174266ca1b9dddd673240bc001fac85d82aa8364f115d8ce78a7
98,pat_069.jpg,pat_069.jpg,Synthetic Images,Synthetic Images/pat_069.jpg,1024,768,f4dc303826259d325584e7fe157c90dab7b51a8e867fa615cc962a8e8a65b57d
99,pat_070.jpg,pat_070.jpg,Synthetic Images,Synthetic Images/pat_070.jpg,1024,768,1b9dbc39168824e5f79e642b481dcfe3b3908e0f37cb72d283406e0f04473a66
